timestamp ba_x ba_y ba_z bg_x bg_y bg_z
1741766527.054104 0.18676272 -0.02556871 -0.00462928 0.00493840 -0.00112484 -0.00316746
1741766527.187679 0.18815801 -0.01907479 -0.00403221 0.00498484 -0.00066437 -0.00329469
1741766527.321033 0.18198736 -0.00296826 -0.00634263 0.00477256 -0.00034580 -0.00341531
1741766527.454624 0.17285805 0.00884190 -0.00842539 0.00446635 -0.00012928 -0.00357880
1741766527.587849 0.16105763 0.01777760 -0.01058948 0.00410867 -0.00018875 -0.00370364
1741766527.721271 0.15091127 0.02467796 -0.01280493 0.00386761 -0.00017630 -0.00376307
1741766527.854947 0.14554621 0.03074056 -0.01412100 0.00376951 -0.00014115 -0.00375189
1741766527.988220 0.14829985 0.02158433 -0.01342545 0.00390586 -0.00054831 -0.00373786
1741766528.121588 0.15361913 0.00799592 -0.01152777 0.00397878 -0.00087523 -0.00365891
1741766528.255211 0.15973520 -0.00119928 -0.00958494 0.00387949 -0.00099694 -0.00390741
1741766528.389068 0.16311245 -0.00634936 -0.00875345 0.00401721 -0.00112538 -0.00401006
1741766528.522065 0.16099185 -0.01259438 -0.00791518 0.00362574 -0.00126093 -0.00411561
1741766528.655532 0.14908127 -0.01401611 -0.00885113 0.00307898 -0.00112243 -0.00403701
1741766528.788744 0.14788705 -0.01610267 -0.00885901 0.00314632 -0.00088189 -0.00386173
1741766528.922390 0.14554669 -0.01911696 -0.00906621 0.00328825 -0.00096105 -0.00369555
1741766529.055816 0.11867326 0.00533263 -0.01937748 0.00355834 -0.00108219 -0.00364803
1741766529.189039 0.14239722 -0.01311769 -0.01143212 0.00409930 -0.00091189 -0.00354133
1741766529.322518 0.13244486 -0.01446022 -0.01174687 0.00301326 -0.00102623 -0.00369087
1741766529.456041 0.12789302 -0.01001203 -0.01260398 0.00282095 -0.00086847 -0.00367405
1741766529.589629 0.12948849 -0.00932683 -0.01269406 0.00298932 -0.00089447 -0.00353259
1741766529.722910 0.13196322 -0.01260601 -0.01180243 0.00293257 -0.00093578 -0.00351404
1741766529.856369 0.13716005 -0.01514734 -0.01051812 0.00297611 -0.00083094 -0.00348869
1741766529.989649 0.13654409 0.00365045 -0.01127939 0.00291837 0.00030629 -0.00336827
1741766530.123211 0.13546541 0.00348371 -0.01214850 0.00322846 -0.00004985 -0.00326910
1741766530.256538 0.13304449 -0.01025990 -0.01152492 0.00293872 -0.00101100 -0.00328979
1741766530.390026 0.13401297 -0.01487412 -0.01120145 0.00315940 -0.00125092 -0.00336597
1741766530.523290 0.11678680 -0.02588099 -0.01303321 0.00294344 -0.00148958 -0.00376562
1741766530.656736 0.12226342 -0.03207675 -0.01026200 0.00230041 -0.00141439 -0.00373449
1741766530.790372 0.13214885 -0.02090207 -0.00945896 0.00251167 -0.00126010 -0.00329964
1741766530.923612 0.13275602 -0.03250332 -0.00864655 0.00252485 -0.00209681 -0.00312416
